,GameRant URL,GameRant Title,GameRant Timestamp,First Announcement Url,First Announcement Timestamp,Delta Time
0,https://ninentdo.com/article,article title here,2024-04-18 22:00:00,https://ninentdo.com/article,2024-04-18 20:00:00,0 days 02:00:00
,GameRant URL,GameRant Title,GameRant Timestamp,First Announcement Url,First Announcement Timestamp,Delta Time
0,https://gamerant.com/walmart-starfield-3-cents-destroy-throw-out/,Walmart Is Reportedly Going to Throw Out Copies of Starfield,2024-01-20 06:57:53,https://news.xbox.com/en-us/2024/03/04/spongebob-special-edition-bundle-xbox-best-buy/,2024-03-04 09:30:00,-45 days +21:27:53
,GameRant URL,GameRant Title,GameRant Timestamp,First Announcement Url,First Announcement Timestamp,Delta Time
0,https://gamerant.com/walmart-starfield-3-cents-destroy-throw-out/,Walmart Is Reportedly Going to Throw Out Copies of Starfield,2024-01-20 06:57:53,https://news.xbox.com/en-us/2024/03/04/spongebob-special-edition-bundle-xbox-best-buy/,2024-03-04 09:30:00,-45 days +21:27:53
0,https://gamerant.com/palworld-peta-statement/,PETA Releases Statement on Palworld,2024-01-25 02:48:23,,,2024-01-25 02:48:23
0,https://gamerant.com/palworld-ps5-ps4/,PlayStation Responds to Palworld PS5 Demand,2024-01-22 09:58:18,https://news.xbox.com/en-us/2024/02/21/new-platforms-new-players-xbox-games-switch-playstation/,2024-02-21 13:00:00,-31 days +20:58:18
0,https://gamerant.com/nintendo-64-style-games-switch-corn-kidz/,April 19 Will Be a Big Day for Nintendo 64 Fans,2024-04-13 08:58:32,,,2024-04-13 08:58:32
0,https://gamerant.com/ea-games-shutting-down-when-nhl-20/,EA Game Shutting Down on September 16,2024-03-19 11:22:52,,,2024-03-19 11:22:52
0,https://gamerant.com/last-of-us-2-remastered-refunds/,Sony Issuing Refunds for The Last of Us Part 2 Remastered,2024-01-19 08:55:15,,,2024-01-19 08:55:15
0,https://gamerant.com/best-cheap-steam-games-shadow-tactics/,Steam Game With 'Overwhelmingly Positive' Reviews Is 90% Off for Limited Time,2024-01-27 10:53:31,,,2024-01-27 10:53:31
0,https://gamerant.com/five-nights-at-freddys-game-shut-down-fnaf-ar-special-delivery/,A Five Nights at Freddy's Game Has Shut Down Forever,2024-03-16 08:08:40,,,2024-03-16 08:08:40
0,https://gamerant.com/grubhub-fallout-meal-nuka-blast-burger-price-locations-order/,Extremely Limited Fallout Burger Meal Coming This Week,2024-04-08 05:10:12,,,2024-04-08 05:10:12
0,https://gamerant.com/elden-ring-player-boss-discovery-first-time-1000-hours/,"Elden Ring Player Discovers Boss for the First Time After Playing for Over 1,000 Hours",2024-02-26 14:24:59,,,2024-02-26 14:24:59
0,https://gamerant.com/facebook-down-today-for-everyone-right-now-march-2024/,Facebook Is Down Right Now [UPDATE],2024-03-05 05:44:05,,,2024-03-05 05:44:05
0,https://gamerant.com/palworld-steam-charts-helldivers-2/,Palworld Knocked Off Top Spot on Steam Charts,2024-02-09 10:41:23,https://news.xbox.com/en-us/2024/01/31/palworld-biggest-3rd-party-game-pass-launch-ever/,2024-01-31 13:00:00,8 days 21:41:23
0,https://gamerant.com/ps3-system-update-491-patch-notes/,PS3 Gets Surprise New System Update,2024-02-27 14:29:16,,,2024-02-27 14:29:16
0,https://gamerant.com/pokemon-go-lets-go-meltan-8-9-stuck-catch-a-ditto-omanyte-kabuto/,Pokemon GO Players Stuck on 6-Year-Old Quest Should Keep an Eye on April 22,2024-04-21 07:41:25,,,2024-04-21 07:41:25
0,https://gamerant.com/immortality-ps5-release-date/,Former Xbox Console Exclusive Releases on PS5 Today,2024-01-23 07:41:08,,,2024-01-23 07:41:08
0,https://gamerant.com/elden-ring-player-new-cave-limgrave-discovery-400-hours/,Elden Ring Player Finds New Cave After Playing for Over 400 Hours,2024-04-08 15:54:51,,,2024-04-08 15:54:51
0,https://gamerant.com/welcome-to-paradize-co-op-zombie-game-release-date/,A New Co-op Zombie Game Is Coming Out Next Month,2024-01-28 04:22:41,,,2024-01-28 04:22:41
0,https://gamerant.com/ps-plus-extra-new-games-april-2024-dave-the-diver-tales-of-kenzera/,"PS Plus Extra Confirms 2 Surprise Games for April 2024, Including Day One Release",2024-04-02 08:41:39,,,2024-04-02 08:41:39
0,https://gamerant.com/epic-games-store-free-games-may-2024-circus-electrique-egs/,Epic Games Store is Giving Away Over $100 Worth of Content on May 9,2024-05-02 07:30:05,,,2024-05-02 07:30:05
0,https://gamerant.com/elden-ring-dlc-after-shadow-of-the-erdtree/,FromSoftware Has Bad News for Elden Ring Fans,2024-05-02 06:10:44,,,2024-05-02 06:10:44
0,https://gamerant.com/meta-oculus-bogo-best-game-shutdown-march-15/,Meta Is Shutting Down One of the Best Games on Oculus on March 15,2024-03-09 12:37:54,,,2024-03-09 12:37:54
0,https://gamerant.com/pokemon-scarlet-violet-codes-iron-hands/,Pokemon Scarlet and Violet Code Gets You a Free Violet-Exclusive Pokemon,2024-04-05 10:07:10,,,2024-04-05 10:07:10
0,https://gamerant.com/xbox-game-pass-games-leaving-may-2024-norco/,Xbox Game Pass Is Losing One of Its Highest-Rated Games on May 15,2024-04-30 06:29:21,https://news.xbox.com/en-us/2024/04/30/xbox-game-pass-may-2024-wave-1/,2024-04-30 09:00:00,-1 days +21:29:21
0,https://gamerant.com/stardew-valley-penny-request-lost-money-starfruit-wine/,"Stardew Valley Player Loses Out on Over $200,000 Worth of Starfruit Wine Thanks to Penny",2024-03-30 13:48:02,,,2024-03-30 13:48:02
0,https://gamerant.com/nintendo-switch-2-first-retailer-listing/,Nintendo Switch 2 Listed by Retailer,2024-01-19 11:20:57,,,2024-01-19 11:20:57
0,https://gamerant.com/nintendo-gamecube-goodwill-find-haul-price/,Nintendo GameCube Fan Makes Incredible Find at Goodwill,2024-03-26 08:21:41,,,2024-03-26 08:21:41
0,https://gamerant.com/topspin-2k25-announcement/,Acclaimed 2K Series Making a Comeback After 13 Years,2024-01-16 12:38:12,https://news.xbox.com/en-us/2024/03/25/grounded-with-fully-yoked-1-4-update-announce/,2024-03-25 13:00:00,-70 days +23:38:12
0,https://gamerant.com/disney-plus-daredevil-set-up-deadpool-wolverine/,New Marvel Movie On Disney Plus Seemingly Added To Set Up Deadpool & Wolverine,2024-04-23 10:35:12,,,2024-04-23 10:35:12
0,https://gamerant.com/xbox-game-pass-palworld-january-2024/,Xbox Game Pass Adds Day One Open World Game Today,2024-01-19 01:05:10,https://news.xbox.com/en-us/2024/01/31/palworld-biggest-3rd-party-game-pass-launch-ever/,2024-01-31 13:00:00,-13 days +12:05:10
0,https://gamerant.com/palworld-player-catches-zoe-grizzbolt/,Palworld Player Catches Zoe and Grizzbolt,2024-01-22 13:36:37,,,2024-01-22 13:36:37
0,https://gamerant.com/cyberpunk-2077-new-update-steam-hints/,New Cyberpunk 2077 Update Coming Soon,2024-01-09 11:10:43,,,2024-01-09 11:10:43
0,https://gamerant.com/xbox-game-pass-february-2024-games-persona-3-reload/,Xbox Game Pass Adds Massive AAA Day One Game,2024-02-01 20:25:21,https://news.xbox.com/en-us/2024/01/16/persona-3-reload-how-atlus-reimagined-a-classic-rpg/,2024-01-16 08:00:00,16 days 12:25:21
0,https://gamerant.com/skyrim-update-patch-notes-2024/,Skyrim Gets First New Update of 2024,2024-01-17 09:18:02,https://news.xbox.com/en-us/2024/01/18/xbox-developer-direct-2024-recap/,2024-01-18 15:50:15,-2 days +17:27:47
0,https://gamerant.com/xbox-game-pass-best-games-leaving-soon-gta-5/,Xbox Game Pass is Losing Its Highest-Rated Game Today,2024-01-05 06:36:05,,,2024-01-05 06:36:05
0,https://gamerant.com/xbox-game-pass-february-2024-games-madden-nfl-24/,Xbox Game Pass Ultimate Adds New AAA Game Today,2024-02-07 23:41:55,https://news.xbox.com/en-us/2024/04/09/starter-tips-for-botany-manor-your-new-xbox-game-pass-puzzle-adventure/,2024-04-09 10:30:00,-62 days +13:11:55
0,https://gamerant.com/epic-games-store-free-games-right-now-february-2024-fallout/,Epic Games Store Giving Away 3 Free Games on February 22 [UPDATE],2024-02-15 06:30:17,,,2024-02-15 06:30:17
0,https://gamerant.com/epic-games-store-free-games-april-2024-ghostrunner/,Epic Games Store Reveals Free Game for April 11,2024-04-04 07:25:31,,,2024-04-04 07:25:31
0,https://gamerant.com/cyberpunk-2077-ncpd-holocalls-setting-behavior/,Cyberpunk 2077 Player Makes Realization After 400+ Hours in the Game,2024-04-12 13:00:13,,,2024-04-12 13:00:13
0,https://gamerant.com/epic-games-store-free-games-january-2024-plague-tale-egs/,Epic Games Store Reveals Free Game for January 3,2024-01-03 06:39:34,,,2024-01-03 06:39:34
0,https://gamerant.com/fallout-4-hardest-achievement-maximum-happiness-settlement/,"Fallout 4 Player Spends Over 1,000 Hours Unlocking the Game's Hardest Achievement",2024-05-01 08:50:10,,,2024-05-01 08:50:10
0,https://gamerant.com/helldivers-2-no-transmog-customization/,Helldivers 2 CEO Says No to Adding Popular Customization Mechanic,2024-04-13 01:17:26,,,2024-04-13 01:17:26
0,https://gamerant.com/five-nights-at-freddys-help-wanted-2-ps5-release-date/,June 20 Will Be a Big Day for Five Nights at Freddy's Fans,2024-04-18 10:05:56,,,2024-04-18 10:05:56
0,https://gamerant.com/epic-games-store-free-mystery-right-now-january-2024-20-minutes-dawn/,Epic Games Store Free Mystery Game for January 2 Revealed,2024-01-02 06:03:52,,,2024-01-02 06:03:52
0,https://gamerant.com/cyberpunk-2077-new-update-2024-latest-hotfix/,New Cyberpunk 2077 Update Coming Next Week,2024-01-26 11:00:24,,,2024-01-26 11:00:24
0,https://gamerant.com/fallout-76-veterans-new-players-advice-tip-when-to-start-events-wait/,Fallout 76 Veterans Have an Important Plea For New Players,2024-05-03 13:43:16,,,2024-05-03 13:43:16
0,https://gamerant.com/palworld-the-pokemon-company-statement/,The Pokemon Company Issues Statement on Palworld Similarities,2024-01-25 02:11:52,,,2024-01-25 02:11:52
0,https://gamerant.com/pokemon-go-player-bagon-shunundo-catch-rare/,Pokemon GO Player Catches Bagon That's Rarer Than a Shundo,2024-04-08 17:10:27,,,2024-04-08 17:10:27
